Japanese,GoogleTranslation,English,ShouldPatch
ｼﾞｭﾉｰﾝ,Junon,Junon,1
ｺﾞﾝｺﾞｽ,Gongos,Gongos,1
ﾚｵﾝ,Leon,Leon,1
ﾚｲﾅｰﾄ,Late,Reinhart,1
ﾐｶﾂﾞｷ,Mikanoki,Mikhal,1
ﾃｨﾘｽ,Tirisu,Teiris,1
ｺﾞﾙﾀﾞｸ,Goldaku,Goldark,1
ｳｪｲﾝ,Wayne,Wein,1
新規,New,,1
更新,update,,1
複写,copy,,1
消去,erase,,1
終了,end,,1
待機させますか？,Do you want to wait?,,1
取消,Cancel,,1
決定,Decide,,1
退却,retreat,,1
情報,information,,1
出陣,Departure,,1
MEMORYCARD差込口２,MEMORYCARD outlet 2,MEMORYCARD SLOT 2,1
MEMORYCARD差込口１,MEMORYCARD outlet 1,MEMORYCARD SLOT 1,1
いいえ,No,,1
は  い,Yes,,1
城数%c%c,Number of Cities%c%c,Cities%c%c,1
勲章授与をやめる,Stop awarding medals,End Awards,1
日時%02d/%02d,DayTime%02d/%02d,,1
アイテム授与をやめる,Stop awarding items,End Items,1
装備をはずす,Remove equipment,Unequip,1
与をやめる,Stop Giving,,1
消,Erase,Erase,1
装,Outfit,Outfit,1
会見をやめる,Stop the press conference,End Audience,1
一覧表示をやめる,Stop displaying the list,End General Info,1
療養中,recovering,Recovering,1
捕虜,POW,Captive,1
君主,Monarch,Monarch,1
%-12s %-6s %-12s,% -12s% -6s% -12s,%-12s %-6s %-12s,0
地図に戻る,Return to map,Return to map,1
%-12s %-6s     %2d,% -12s% -6s% 2d,%-12s %-6s     %2d,0
%3d,% 3d,%3d,0
探索終了,End of search,End Search,1
築城終了,The construction of the castle is completed,End Fortify,1
終    了,end,End,1
全体を見る,See the whole,View All,1
ERROR : List_Select(:win),ERROR: List_Select (: win),,0
"SEL %3d/%3d, HEAD %3u","SEL% 3d /% 3d, HEAD% 3u",,0
"DMAX %3u, ENTRY %3u","DMAX% 3u, ENTRY% 3u",,0
"LIST[%3u] %3u, Sts %x","LIST [% 3u]% 3u, Sts% x",,0
Cnt %u chk %X,Cnt% u chk% X,,0
崩壊の宝物,Collapse treasure,,1
友情のコイン,Friendship coin,Faith Coin,1
勇気のコイン,Courage coin,Bravery Coin,1
誠実のコイン,Sincere coin,Honor Coin,1
アステアの像,Statue of Astea,Astea's Statue,1
ドラゴンの像,Dragon statue,Dragon Statue,1
獣戦士徽章,Beast Warrior Emblem,Savage Crest,1
怨霊徽章,Grief emblem,Spirit Crest,1
飛行徽章,Flight emblem,Flying Crest,1
僧兵徽章,Monk soldier emblem,Cleric Crest,1
侍徽章,Samurai emblem,Samurai Crest,1
魔導徽章,Magical emblem,Magic Crest,1
弓徽章,Bow emblem,Arrow Crest,1
騎士徽章,Knight emblem,Honor Crest,1
戦士徽章,Warrior emblem,Soldier Crest,1
竜騎士徽章,Dragoon emblem,Dragon Crest,1
アステアの心,Astea's heart,Astea's Herb,1
人徳の書,Book of human virtue,Virtuous Runes,1
古代の書,Ancient book,Ancient Runes,1
兵法の書,Book of military art,Strategy Runes,1
破滅の宝物,Treasure of ruin,Ruined Treasure,1
星の宝刀,Star treasure sword,Stargem Sword,1
月の杖,Moon wand,Moon Cane,1
太陽の腕環,Arm ring of the sun,Sun Bracelet,1
知恵の腕環,Arm ring of wisdom,Wisdom Armlet,1
賢者の腕輪,Sage's bracelet,Sage Bracelet,1
頭領の腕環,Arm ring of the head,Knowledge Armlet,1
ミストラル,Mistral,Mistral,1
テンペスト,Tempest,Tempest,1
ミラクルロッド,Miracle rod,Miracle Rod,1
ジュエルロッド,Jewel rod,Jeweled Rod,1
エメロード,Emerode,Emerald,1
野心の指輪,Ring of ambition,Ambition Ring,1
トゥールの指輪,Tour ring,True Ring,1
アステアの指輪,Astea Ring,Astea's Ring,1
女神の涙,Goddess tears,Goddess Tear,1
ドラゴンズアイ,Dragon's Eye,Dragon's Eye,1
軍神の守り,Guardian of the war god,Valhart's Charm,1
リフレクター,Reflector,Battle Armor,1
ゴッズアーマー,Gods Armor,Gauze Armor,1
将軍のヨロイ,Shogun Yoroi,Shogun Armor,1
身代わりの楯,Substitute shield,Sacrifice Shield,1
加護の楯,Shield of blessing,Divine Shield,1
星竜の宝杖,Star Dragon Treasure Wand,Star Dragon Cane,1
星竜の腕環,Star Dragon Arm Ring,Star Dragon Armlet,1
星竜の大剣,Star Dragon's Great Sword,Star Dragon Sword,1
プラズマクロー,Plasma claw,Wicked Claw,1
デスクロー,Desk low,Dark Claw,1
ビーストクロー,Beast claw,Beast Claw,1
マジックランス,Magic lance,Magical Lance,1
ルーンランス,Rune lance,Rune Lance,1
バトルスピア,Battle spear,Battle Spear,1
ジャベリン,Javelin,Javelin,1
大地の斧,Earth ax,Earth Axe,1
イグニスの斧,Ignis ax,Igneous Axe,1
雷鳴の斧,Thunder ax,Thunder Axe,1
魔神の斧,Genie Ax,Dark Axe,1
神威,Kamui,Kamui Blade,1
神月刀,God moon sword,Moon God Sword,1
妖刀　不知火,Shiranui,Kamui Blade,1
月光,moonlight,Moonbeam Sword,1
草凪,Kusanagi,Kusanagi Blade,1
村雨,Village rain,Phantom Sword,1
エクリクシス,Ecrixis,Eclisis,1
ガイアソード,Gaia Sword,Gaia Sword,1
サイコソード,Psycho sword,Psycho Sword,1
ソウルバスター,Soul Buster,Soul Buster,1
マルスギア,Mars Gear,Mars Blade,1
なし,none,None,1
アヤメ・マツリ,Ayame Matsuri,Ayame & Matsuri,1
ハーセルド,Herseld,Harseld,1
ルフス,Rufus,Rufas,1
ザック,Zack,Zakk,1
セルピア,Serpia,Sylphia,1
スティア,Steer,Fyffer,1
ログ,log,Rog,1
ヴォイド,Void,Voitt,1
ギィルテ,Guilte,Gilette,1
エナ,Ena,Enya,1
フェリーナ,Felina,Fern,1
